Country,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurin. State of),Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,"China, Macao SAR",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Croatia,Cuba,Cyprus,Czechia,Dem. People's Rep. Korea,Dem. Rep. of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Falkland Islands (Malvinas),Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guadeloupe,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Dem. Rep.,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mexico,Micronesia (Fed. States of),Mongolia,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norway,Oman,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent & Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,State of Palestine,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Rep. of Tanzania,United States of America,Uruguay,Uzbekistan,Vanuatu,Venezuela (Boliv. Rep. of),Viet Nam,Yemen,Zambia,Zimbabwe
iso_n3,4,8,12,20,24,660,28,32,51,533,36,40,31,44,48,50,52,112,56,84,204,60,64,68,70,72,76,92,96,100,854,108,132,116,120,124,140,148,152,156,446,170,174,178,184,188,191,192,196,203,408,180,208,262,212,214,218,818,222,226,232,233,231,238,234,242,246,250,254,258,266,270,268,276,288,300,304,308,312,320,324,624,328,332,340,348,352,356,360,364,368,372,376,380,388,392,400,398,404,296,414,417,418,428,422,426,430,434,440,442,450,454,458,462,466,470,584,474,478,480,484,583,496,504,508,104,516,520,524,528,540,554,558,562,566,570,578,512,586,591,598,600,604,608,616,620,634,410,498,642,643,646,654,659,662,666,670,882,678,682,686,690,694,702,703,705,90,706,710,724,144,275,740,752,756,760,762,764,768,776,780,788,792,795,796,800,804,784,826,834,840,858,860,548,862,704,887,894,716
1995,"1,243","2,087","95,294",425,"10,975",66,275,"127,964","3,410","1,668","281,860","59,783","33,333","1,683","14,818","22,816",829,"60,773","112,328",378,"1,327",532,249,"9,850","3,429","3,047","258,347",84,"4,789","58,005",627,238,121,"1,551","4,228","467,638",235,110,"41,745","3,320,285","1,232","59,614",73,"1,566",40,"4,866","16,986","25,709","5,383","123,831","82,911","2,123","57,172",304,81,"15,885","22,842","95,723","5,027",128,935,"17,521","2,563",44,572,763,"52,713","349,161",583,429,"4,624",198,"2,303","864,110","5,277","78,782",502,150,"1,463","7,165","1,291",183,"1,463",902,"3,880","60,370","1,947","811,562","224,941","272,942","74,348","32,970","51,100","430,484","9,179","1,183,447","13,557","169,166","7,554",29,"54,822","4,529",348,"9,443","13,579","1,709",326,"46,021","16,204","8,317","1,265",920,"121,132",249,469,"2,123",66,"1,639","1,074","1,830","332,817",106,"7,921","30,374","1,115","6,960","1,632",106,"2,035","178,634","2,076","27,132","2,780",810,"35,841",7,"33,439","15,896","84,484","2,985","2,061","3,964","23,883","60,711","344,214","51,870","31,789","374,771","11,192","126,049","1,631,474",462,11,128,312,70,128,117,48,"235,161","3,495",198,400,"42,174","42,115","14,404",143,590,"362,259","241,611","5,904",946,"2,065","55,155","39,226","41,664","2,450","161,154",953,95,"17,022","15,735","171,975","34,000",48,939,"445,944","70,641","538,118","3,553","5,132,920","4,591","103,435",66,"133,350","29,090","10,466","2,171","15,130"
2005,"1,327","4,254","107,278",576,"19,156",128,429,"162,111","4,353","2,721","350,173","74,216","34,338","1,742","19,208","39,479","1,353","59,167","108,510",422,"2,395",583,396,"12,185","16,204","4,096","347,309",132,"5,005","47,917","1,126",154,440,"2,776","3,696","557,417",235,400,"61,818","5,896,958","1,830","60,946",139,983,62,"6,868","22,592","26,006","7,503","120,109","75,573","1,500","47,095",414,117,"18,639","30,264","167,208","6,454","4,712",766,"16,755","5,119",51,722,"1,096","54,646","385,369",554,821,"4,888",293,"5,068","797,180","6,993","98,675",609,216,"2,222","12,570","1,826",213,"1,437","2,076","7,554","58,019","2,230","1,222,563","341,992","468,808","113,523","43,538","56,952","473,384","10,499","1,239,255","21,060","177,329","8,562",62,"71,547","5,592","1,404","7,506","16,208","2,013",726,"52,108","13,902","11,547","1,742",876,"174,487",601,898,"2,699",84,"2,204","1,588","3,297","466,362",121,"8,562","45,771","1,822","11,599","2,310",62,"3,084","181,480","2,824","34,140","4,320",715,"106,068",4,"42,438","29,893","136,636","6,839","4,386","3,832","37,136","74,832","302,539","65,280","50,957","462,922","4,895","96,457","1,615,090",528,11,198,367,66,220,161,77,"397,642","5,812",689,546,"30,359","39,358","15,867",161,594,"416,916","353,462","12,101","2,743","1,595","51,562","41,338","50,627","2,442","247,467","1,338",114,"38,151","22,662","237,391","48,338",121,"2,171","333,877","116,149","542,580","5,504","5,789,727","5,776","117,249",59,"165,096","98,144","20,044","2,288","10,770"
2014,"9,809","5,717","145,400",462,"34,763",143,532,"204,025","5,530",873,"361,262","58,712","37,488","2,417","31,338","73,190","1,272","63,498","93,351",495,"6,318",576,"1,001","20,411","22,233","7,033","529,808",180,"9,109","42,416","2,849",440,491,"6,685","7,004","537,193",301,730,"82,563","10,291,927","1,283","84,092",154,"3,095",70,"7,759","16,843","34,837","6,062","96,475","40,528","4,672","33,498",722,136,"21,540","43,920","201,894","6,285","5,346",697,"19,519","11,599",55,598,"1,170","47,301","303,276",733,803,"5,192",513,"8,988","719,883","14,466","67,319",506,242,"2,567","18,328","2,450",271,"2,010","2,860","9,472","42,086","1,984","2,238,377","464,176","649,481","168,444","34,066","64,602","320,411","7,422","1,214,048","26,450","248,315","14,287",62,"95,408","9,608","1,955","6,975","24,070","2,468",935,"56,996","12,838","9,659","3,077","1,276","242,821","1,335","1,412","2,347",103,"2,299","2,710","4,228","480,271",150,"20,840","59,864","8,427","21,632","3,755",48,"8,031","167,303","4,290","34,664","4,862","2,127","96,281",11,"47,627","61,169","166,298","8,801","6,318","5,702","61,745","105,654","285,740","45,053","107,854","587,156","4,932","70,003","1,705,346",840,11,231,407,77,209,198,114,"601,047","8,856",495,"1,309","56,373","30,678","12,812",202,609,"489,772","233,977","18,394","2,838","1,991","43,421","35,306","30,704","5,189","316,213","2,622",121,"46,274","28,830","345,981","68,423",205,"5,229","227,299","211,370","419,820","11,562","5,254,279","6,747","105,214",154,"185,220","166,911","22,699","4,503","12,020"
delta,8566,3630,50106,37,23788,77,257,76061,2120,-795,79402,-1071,4155,734,16520,50374,443,2725,-18977,117,4991,44,752,10561,18804,3986,271461,96,4320,-15589,2222,202,370,5134,2776,69555,66,620,40818,6971642,51,24478,81,1529,30,2893,-143,9128,679,-27356,-42383,2549,-23674,418,55,5655,21078,106171,1258,5218,-238,1998,9036,11,26,407,-5412,-45885,150,374,568,315,6685,-144227,9189,-11463,4,92,1104,11163,1159,88,547,1958,5592,-18284,37,1426815,239235,376539,94096,1096,13502,-110073,-1757,30601,12893,79149,6733,33,40586,5079,1607,-2468,10491,759,609,10975,-3366,1342,1812,356,121689,1086,943,224,37,660,1636,2398,147454,44,12919,29490,7312,14672,2123,-58,5996,-11331,2214,7532,2082,1317,60440,4,14188,45273,81814,5816,4257,1738,37862,44943,-58474,-6817,76065,212385,-6260,-56046,73872,378,0,103,95,7,81,81,66,365886,5361,297,909,14199,-11437,-1592,59,19,127513,-7634,12490,1892,-74,-11734,-3920,-10960,2739,155059,1669,26,29252,13095,174006,34423,157,4290,-218645,140729,-118298,8009,121359,2156,1779,88,51870,137821,12233,2332,-3110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
